Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
176;Sérogroupe Californie (Jamestown canyon, Snowshoe hare): détection (anticorps);83011;Sérogroupe Californie (Jamestown canyon, Snowshoe hare)  détection (anticorps);;VSGC, Virus Jamestown Canyon, Virus Snowshoe Hare;Veuillez spécifier l'historique de voyage et la nature des symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;Délai du LNM (14 jours) + 6 jours ouvrables;"Les deux paires d’échantillons suivantes sont acceptées : sérum en phase aiguë et sérum en phase de convalescence (1mL chacun) OU sérum (1ml) et LCR (250uL) en phase aiguë, prélevés la même journée.
SVP nous faire parvenir une requête par échantillon / par date de prélèvement.";EIA, PRNT si EIA positif/EQV;VSGC - Détection d'anticorps;Humain;SCAL;Sérogroupe Californie;Envoi au LNM.;Catégorie B;
177;Shigella spp.: identification (sérotypage, séquençage du génome entier);81034;Shigella spp. identification (sérotypage, séquençage du génome entier);;Shigellose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;3 à 15 jours ouvrables;Souche - Culture;Identification conventionnelle (tests biochimiques), sérotypage, typage par séquençage du génome entier;Identification;Humain;ENT;Entéro;N/A;Catégorie A: Shigella dysenteriae Type 1 / Catégorie B: autres Shigella spp.;
178;Staphylococcus aureus (incluant SARM) : investigation d'éclosion (typage, EGCP);81056;Staphylococcus aureus (incluant SARM)   investigation d'éclosion (typage, EGCP);;Staphylococcus aureus, éclosion, SARM;Veuillez contacter le LSPQ.;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;TAAN (gènes NUC, MEC A, PVL, TSST-1) ou identifcation par séquençage du gène tuf;Identification;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
179;Staphylococcus aureus (incluant SARM): antibiogramme - panel complet (microdilution en bouillon);81055;Staphylococcus aureus (incluant SARM)  antibiogramme - panel complet (microdilution en bouillon);;Staphylococcus aureus, SARM;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;CMI - microdilution, diffusion en gélose;Antibiogramme;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
180;Staphylococcus aureus (incluant SARM): antibiogramme - vancomycine seulement (microdilution en bouillon) ;81054;Staphylococcus aureus (incluant SARM)  antibiogramme - vancomycine seulement (microdilution en bouillon) ;;Staphylococcus aureus, SARM;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;CMI - microdilution, diffusion en gélose;Antibiogramme;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
181;Staphylococcus aureus : détection mecA et mecC (SARM) (TAAN);81053;Staphylococcus aureus   détection mecA et mecC (SARM) (TAAN);;Staphylococcus aureus, SARM, mecA, mecC;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;TAAN (gènes mecA et mecC);Identification;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
182;Staphylococcus aureus:  détection toxine tsst-1 (TAAN);81057;Staphylococcus aureus   détection toxine tsst-1 (TAAN);;Syndrôme du choc toxique;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;TAAN (TSST-1);Recherche de toxines;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
183;Staphylococcus aureus:  programme de surveillance SARM;81052;Staphylococcus aureus   programme de surveillance SARM;;Staphylococcus aureus, SARM, surveillance;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;N/A;Souche - culture;À venir;Programme de surveillance;Humain;MA3;3. Staph. aureus;Programme de surveillance.;Catégorie B;
184;Staphylococcus aureus: confirmation SARM-AC (typage spa);81050;Staphylococcus aureus  confirmation SARM-AC (typage spa);;MRSA, SARM, SARM-C, Communautaire, typage gène spa, spa;SVP fournir justification, dans le champ "Autres données pertinentes", si le typage moléculaire est demandé. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;Typage du gène spa par TAAN;Typage;Humain;MA3;3. Staph. aureus;Justification si le typage moléculaire est demandé.;Catégorie B;
185;Staphylococcus aureus: détection PVL (TAAN)  ;81051;Staphylococcus aureus  détection PVL (TAAN)  ;;Staphylococcus aureus, pvl;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - culture;TAAN (PVL);Identification;Humain;MA3;3. Staph. aureus;N/A;Catégorie B;
186;Streptococcus pneumoniae: antibiogramme (microdilution en bouillon);81093;Streptococcus pneumoniae  antibiogramme (microdilution en bouillon);;Pneumocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 15 jours ouvrables;Souche - culture;CMI - microdilution;Antibiogramme;Humain;CMIP;CMI Pneumo Sang & Stérile;Confirmation de la résistance à la pénicilline.;Catégorie B;
187;Streptococcus pneumoniae: détection (TAAN) sur spécimen primaire;81090;Streptococcus pneumoniae  détection (TAAN) sur spécimen primaire;;Pneumocoque;Recherche de N. meningitidis et/ou H. influenzae peut être demandée sur le même spécimen. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 10 jours ouvrables;Extrait d'ADN ou liquide biologique stérile (1 ml) sur glace sèche  pour les prélèvements sanguins, utiliser les tubes avec EDTA.;TAAN;Recherche d'acide nucléique;Humain;MA50;4. S. pneumoniae - PCR identification;Envoi au LNM. Recherche de N. meningitidis  et/ou H. influenzae peut être demandée sur le même spécimen.;Catégorie B;
188;Streptococcus pneumoniae: identification (séquençage) sur colonie;81092;Streptococcus pneumoniae  identification (séquençage) sur colonie;;Pneumocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 10 jours ouvrables;Souche - culture;Séquençage;Identification;Humain;MA5;5. Strep. pneumoniae;Confirmation de l'identification.;Catégorie B;
189;Streptococcus pneumoniae: programme de surveillance;81094;Streptococcus pneumoniae  programme de surveillance;;Pneumocoque, surveillance;Programme de surveillance.;Marqueurs épidémiologiques;N/A;Souche isolée de site normalement stérile.;CMI - microdilution, sérotypie, TAAN (gènes mef A et erm B) si requis.;Programme de surveillance;Humain;MA5;5. Strep. pneumoniae;Programme de surveillance.;Catégorie B;
190;Streptococcus pneumoniae: sérotypage (Quellung) sur colonie;81091;Streptococcus pneumoniae  sérotypage (Quellung) sur colonie;;Pneumocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 15 jours ouvrables;Souche - culture;Sérotypie (identification par séquençage au besoin);Sérotypage;Humain;MA5;5. Strep. pneumoniae;Confirmation de l'identification;Catégorie B;
191;Streptococcus pyogenes: programme de surveillance (séquençage emm);81060;Streptococcus pyogenes  programme de surveillance (séquençage emm);;Streptocoque groupe A, SGA, surveillance;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;N/A;Souche isolée de site normalement stérile.;Typage moléculaire par séquençage;Programme de surveillance;Humain;MA4;4. Strep. pyogenes;Service d'investigation d'éclosion. Programme de surveillance.;Catégorie B;
192;Strongyloides stercoralis: détection (anticorps);86033;Strongyloides stercoralis  détection (anticorps);;Stemgyloides, Anguillulose, S. stercoralis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA, immunoblot;Strongyloides - Détection d'anticorps;Humain;STRO;Strongyloïdose;Envoi au CNRP. Western Blot fait à la demande du médecin.;Catégorie B;
193;Syphilis: confirmation (anticorps) sur sérum;82040;Syphilis  confirmation (anticorps) sur sérum;;Treponema, Tréponématose, TP-PA, FTA-ABS, MHA-TP, RPR, VDRL sérum, Inno-Lia;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;5 à 8 jours ouvrables;"Sérum (0,5 ml) conservé à 2-8 °C ≤ 4 jours sinon congeler à ≤ -20 °C. Ne pas effectuer plus d’un cycle de congélation-décongélation. Ne pas inactiver les sérums par la chaleur.

Les échantillons doivent être expédiés congelés sur glace carbonique.";TP-PA et/ou INNO-LIA;Syphilis - Confirmation;Humain;SYPH;Syphilis confirmation;Fait au LSPQ;Catégorie B;
194;Syphilis: détection (TAAN);82042;Syphilis  détection (TAAN);;Treponema, Tréponématose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (20 j) + 8 à 10 jours ouvrables;Sang total (0,5 ml), LCR  (0,5 ml), biopsie, ulcère: congelés ou refrigérés;PCR;Syphilis - Recherche d'acides nucléiques;Humain;SYPP;Syphilis PCR;Envoi au LNM.;Catégorie B;
195;Syphilis: détection (VDRL) sur LCR;82041;Syphilis  détection (VDRL) sur LCR;;Neurosyphilis, VDRL-LCR;"
Le VDRL sur LCR ne devrait être effectué que chez les patients dont le sérum a démontré la présence d’anticorps syphilitiques.
Veuillez inscrire les résultats EIA/RPR obtenus sur le sérum dans le champ ""Autres données pertinentes"". S'il y a suspicion de Creutzfeldt-Jakob, veuillez aussi fournir les résultats de la protéine 14-3-3.";Sérologie;"5 à 10 jours ouvrables
48 heures pour les urgences";"LCR (0,5 ml) conservé à 2-8 °C ≤ 4 jours sinon congeler ≤ -20 °C. Éviter les cycles successifs de congélation-décongélation.

Les échantillons doivent être expédiés congelés sur glace carbonique.";VDRL;Détection de neurosyphilis;Humain;VDRL;VDRL - LCR;Fait au LSPQ;Catégorie B;
196;Taenia solium (cysticercose): détection (anticorps);86027;Taenia solium (cysticercose)  détection (anticorps);;Taenia, T. solium;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml), LCR (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Immunoblot;Cysticercose - Détection d'anticorps;Humain;CYST;Cysticercose;Envoi au CNRP;Catégorie B;
197;Taenia solium (cysticercose): détection (TAAN);86028;Taenia solium (cysticercose)  détection (TAAN);;Taenia, T. solium;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Biopsie (0,5g), LCR (1mL). Conservée et envoyée au LSPQ entre 2 et 8°C.;TAAN;Cysticercose - Recherche d'acides nucléiques;Humain;CYSP;Cysticercose PCR;Envoi au CNRP;Catégorie B;
198;Toxocara spp.: détection (anticorps);86074;Toxocara spp.  détection (anticorps);;Toxocariase, Toxocarose sérologie, Toxocara, Visceral larva migrans, T. canis, T. cati;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Toxocara - Détection d'anticorps;Humain;TOXC;Toxocarose;Envoi au CNRP;Catégorie B;
199;Toxoplasma gondii: avidité (anticorps);86081;Toxoplasma gondii  avidité (anticorps);;Toxoplasmose, avidité;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;5 à 10 jours ouvrables;Sérum (0,5 ml) Concervés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;ELFA;Toxoplasma gondii - Avidité;Humain;TOXO;Toxoplasma gondii;Fait au LSPQ.;Catégorie B;
200;Toxoplasma gondii: confirmation (IgG-IgM) (anticorps);86080;Toxoplasma gondii  confirmation (IgG-IgM) (anticorps);;Toxo, toxoplasmose, Toxoplasma, Toxoplasma gondii;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;5 à 10 jours ouvrables;Sérum (0,5 ml) Concervés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;ELFA;Toxoplasma gondii - Détection d'anticorps;Humain;TOXO;Toxoplasma gondii;Fait au LSPQ.;Catégorie B;
201;Toxoplasma gondii: détection (TAAN) sur spécimen clinique;86082;Toxoplasma gondii  détection (TAAN) sur spécimen clinique;;Toxo, toxoplasmose, Toxoplasma, Toxoplasma gondii;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/toxoplasma-gondii-detection-d-acides-nucleiques).;Biologie moléculaire;8 jours ouvrables;Liquide amniotique, LCR, sang total (EDTA), lavage bronchoalvéolaire, humeur aqueuse/vitrée, urine, biopsie, tissus et autres liquides biologiques : spécimens non congelés.;TAAN;Toxoplasma gondii - Recherche d'acides nucléiques;Humain;TOXBM;Toxoplasma gondii - Détection;Voir le guide des services pour plus de détails. Pour le liquide amniotique, le TAAN n'est effectué que chez les patientes avec sérologie  IgM positives au LSPQ.;Catégorie B;
202;Trichinella spp.: détection (anticorps);86075;Trichinella spp.  détection (anticorps);;Trichinella, Trichinose, T. nativa, T. spiralis, Trichinellose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Trichinella - Détection d'anticorps;Humain;TRIC;Trichinellose;Envoi au CNRP;Catégorie B;
203;Trypanosoma brucei (trypanosomiase africaine): détection (anticorps);86076;Trypanosoma brucei (trypanosomiase africaine)  détection (anticorps);;Trypanosomiase africaine, Maladie du sommeil. T. brucei gambiense/rhodensiens, Trypanosomia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1ml), LCR (1 ml)  Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Agglutination (CATT);T. africaine - Détection d'anticorps;Humain;TAFR;Trypanosomiase africaine;Envoi au CNRP;Catégorie B;
204;Trypanosoma brucei (trypanosomiase africaine): détection (TAAN);86077;Trypanosoma brucei (trypanosomiase africaine)  détection (TAAN);;Trypanosomiase africaine, Maladie du sommeil. T. brucei gambiense/rhodensiens, Trypanosomia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sang total EDTA (4 ml), LCR (1 ml) Conservé et envoyé au LSPQ de préférence entre 2 et 8°C.;PCR;T. africaine - Recherche d'acides nucléiques;Humain;TAFP;Trypanosomiase africaine PCR;Envoi au CNRP;Catégorie B;
205;Trypanosoma cruzi (trypanosomiase américaine): détection (anticorps);86078;Trypanosoma cruzi (trypanosomiase américaine)  détection (anticorps);;Maladie de Chagas, Trypanosoma cruzi, Trypanosome, Trypanosomiase américaine ;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA, immunoblot;T. américaine - Détection d'anticorps;Humain;TAME;Trypanosomiase américaine;Envoi au CNRP. Western Blot fait à la demande du médecin.;Catégorie B;
206;Trypanosoma cruzi (trypanosomiase américaine): détection (TAAN);86079;Trypanosoma cruzi (trypanosomiase américaine)  détection (TAAN);;Maladie de Chagas, Trypanosoma cruzi, Trypanosome, Trypanosomiase américaine ;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sang total EDTA (4 mL) , Conservé et envoyé au LSPQ de préférence entre 2 et 8°C.;PCR;T. américaine - Recherche d'acides nucléiques;Humain;TAMP;Trypanosomiase américaine PCR;Envoi au CNRP;Catégorie B;
207;Vers: identification (microscopie);86010;Vers  identification (microscopie);;Helminthes, vers, Anisakis, Ankylostomes, Ascaris, Diphyllobothrium, Dipylidium caninum, Enterobius vermicularis (oxyures), Taenia, Trichuris;Pour de plus amples renseignements sur l'identification de vers, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/vers-identification).;Parasitologie;1 à 3 jours ouvrables;"Ver fixé dans l’alcool 70%, sauf pour les segments de Tænia
qui doivent être envoyés rapidement dans la saline physiologique pour éviter qu’ils se désagrègent durant le transport.

Si les délais sont trop longs avant l’envoi des segments de Tænia, mais que l’identification au genre demeure utile, il est préférable de les fixer dans l’alcool 70% plutôt que dans le SAF ou le formol 10%. ";Microscopie;Identification;Humain;TIQ;Identification arthropodes et vers;Pour de plus amples renseignements sur l'identification de vers, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/vers-identification).;Catégorie B;
208;Vibrio cholerae: antibiogramme (epsilométrie );81036;Vibrio cholerae  antibiogramme (epsilométrie );;Choléra;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;48 heures;Souche - Culture;CMI - dilution en gradiant continu;Antibiogramme;Humain;VIBR;Vibrio;N/A;Catégorie B;
209;Vibrio cholerae: identification et sérogroupage  (phénotypie);81035;Vibrio cholerae  identification et sérogroupage  (phénotypie);;Choléra;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;48 heures;Souche - Culture;Identification conventionnelle (tests biochimiques), agglutination sur lame;Identification;Humain;VIBR;Vibrio;N/A;Catégorie B;
210;Virus de la varicelle et du zona (VZV): génotypage souche vaccinale (TAAN);83076;Virus de la varicelle et du zona (VZV): génotypage souche vaccinale (TAAN);;Varicelle, varicella, zona, vzv;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;N/A;Consulter le guide des services du LNM.;TAAN-séquençage;Varicelle / Zona - Recherche d'acides nucléiques;Humain;VZV;Varicelle / Zona (VZV);Envoi au LNM.;Catégorie B;
211;Virus de l'immunodéficience humaine (VIH): confirmation (anticorps et/ou antigène) sur sérum;83044;Virus de l'immunodéficience humaine (VIH) confirmation (anticorps et/ou antigène) sur sérum;;Geenius, HIV sérologie, SIDA;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;5 à 10 jours ouvrables;"Sérum ou plasma (1,5 ml) conservé à 2-8 °C ≤ 24 heures sinon congeler à -25± 6 °C. Ne pas effectuer plus de 4 cycles de congélation-décongélation. Ne pas utiliser l’anticoagulant citrate de sodium. 

Les échantillons doivent être expédiés congelés sur glace carbonique.";Geenius, antigène p24, LIA (au LNM);VIH - Confirmation;Humain;VIH;VIH;Fait au LSPQ;Catégorie B;
213;Virus de l'immunodéficience humaine (VIH): détection (anticorps) sur salive;83045;Virus de l'immunodéficience humaine (VIH)  détection (anticorps) sur salive;;VIH, HIV, salive;Cette analyse est offerte à la cohorte St-Luc. Veuillez préciser votre demande VIH et/ou VHC dans la section "Autres données pertinentes".;Sérologie;N/A;Écouvillon d'exudat gingival;EIA VIH 1/2 plus O;VIH - Salive;Humain;PR;PR;N/A;Catégorie B;
212;Virus de l'immunodéficience humaine (VIH): détection et confirmation (antigène p24);83046;Virus de l'immunodéficience humaine (VIH) détection et confirmation (antigène p24);;ANTIGÉNÉMIE P24;Suspicion d’infection récente au VIH et présentant un résultat négatif lors du test de dépistage pour le VIH avec une trousse détectant les anticorps anti-VIH-1 et 2 uniquement (3ième génération).;Sérologie;3 à 5 jours ouvrables;"Sérum ou plasma (1,5 ml) conservé à 2-8 °C ≤ 24 heures sinon congeler à -25± 6 °C. Ne pas effectuer plus de 4 cycles de congélation-décongélation. Ne pas utiliser l’anticoagulant citrate de sodium. 

Les échantillons doivent être expédiés congelés sur glace carbonique.";EIA de dépistage et de neutralisation de l'Ag p24;VIH - Détection de l'antigène p24;Humain;P24;Ag  p24;N/A;Catégorie B;
214;Virus de l'immunodéficience humaine (VIH-2): charge virale (TAAN);83048;Virus de l'immunodéficience humaine (VIH-2)  charge virale (TAAN);;CV-VIH-2;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (variable) + 8-10 jours ouvrables;Plasma (1ml);Quantification moléculaire;VIH-2 - Charge virale;Humain;VIH2;VIH-2 Charge virale;Envoi au LNM.;Catégorie B;
215;Virus du Nil occidental (VNO): détection (anticorps);83009;Virus du Nil occidental (VNO)  détection (anticorps);;VNO, WNV, West Nile Virus;Veuillez spécifier l'historique de voyage et la nature des symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;5 à 10  jours ouvrables;Sérum (0,5 ml) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;VNO - Détection d'anticorps;Humain;VNOM;VNO IgM;Fait au LSPQ;Catégorie B;
216;Virus du Nil occidental (VNO): détection (TAAN) sur spécimen clinique;83010;Virus du Nil occidental (VNO)  détection (TAAN) sur spécimen clinique;;VNO, virus de Nil, WNV, West Nile virus;"L'échantillon à privilégier pour le diagnostic de l'infection au VNO est un sérum pour la détection d'anticorps spécifiques.
 Le LCR sera conservé pour référence ultérieure, si l'analyse sérologique s'avérait positive. Pour de plus amples renseignements, veuillez vous référer au guide des services: (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/virus-du-nil-occidental-detection-d-acides-nucleiques).";Biologie moléculaire;2 à 4  jours ouvrables;LCR (0,5 ml) congelé et expédié sur glace sèche.;TAAN;VNO - Recherche d'acides nucléiques;Humain;VNOH;Virus du Nil occidental (LCR);Justification clinique requise.;Catégorie B;
217;Wuchereria bancrofti (filariose): détection rapide d'antigène (immunochromatographie);86062;Wuchereria bancrofti (filariose)  détection rapide d'antigène (immunochromatographie);;Filariose antigène, Antigène Brugia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml), plasma (1 ml)  Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Test rapide par immunochromatographie;W. bancrofti - Détection d'antigène;Humain;BANC;Wurchereria bancrofti;Envoi au CNRP;Catégorie B;
218;Yersinia pestis:  identification (TAAN, IF) sur culture *GR3*;82011;Yersinia pestis   identification (TAAN, IF) sur culture *GR3*;GR3;peste;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 5 jours ouvrables;Souche - Culture;TAAN, Immunofluorescence directe, tests biochimiques;Identification;Humain;GR3;GR3;N/A;Catégorie A;
219;Yersinia pestis: détection (TAAN) sur spécimen primaire;82010;Yersinia pestis  détection (TAAN) sur spécimen primaire;;peste;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;;Sang total (volume minimum requis 0,5 ml), Liquide céphalo-rachidien (LCR) (volume minimum requis 0,5 mL) ;TAAN, Immunofluorescence directe, tests biochimiques;Identification;Humain;GR3;GR3;N/A;Catégorie B;
220;Yersinia spp.: détection (anticorps);82012;Yersinia spp.  détection (anticorps);;Yersinia sérologie, Y. pestis, Y. enterocolitica, Y. Pseudotuberculosis, peste;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du Laboratoire de santé publique de l'Ontario + 6 jours ouvrables;Sérum (0,5 ml) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Agglutination;Yersinia - Détection d'anticorps;Humain;YERS;Yersinia;Envoi au Laboratoire provincial de l'Ontario.;Catégorie B;
221;Zika, Dengue, Chikungunya: détection (TAAN) (multiplex) sur sérum, LCR, urine, liquide amniotique;83003;Zika, Dengue, Chikungunya détection (TAAN) (multiplex) sur sérum, LCR, urine, liquide amniotique;;Zika PCR, PCR Zika;"IMPORTANT : pour les échantillons de sérum, la détection d’anticorps spécifiques est la méthode à privilégier. Si une infection à Chikungunya, Dengue ou Zika est suspectée, veuillez demander l’analyse sérologique associée au pathogène recherché.
Le trioplex sera effectué en fonction des algorithmes en vigueur.";Sérologie / B. moléculaire;10 jours ouvrables;Sérum, LCR, urine, liquide amniotique.;TAAN multiplexe;Zika - Recherche d'acides nucléiques;Humain;ARBM;Arbovirus BM;Formulaire de question complété requis.;Catégorie B;
222;Zika: détection (anticorps);83005;Zika  détection (anticorps);;Zika;IMPORTANT: Veuillez noter qu'un TAAN Zika sera effectué en fonction de l'algorithme en vigueur. Il n'est donc pas nécessaire de créer une nouvelle demande pour Zika, Dengue, Chikungunya: détection multiplex (TAAN) sur sérum sur un nouveau formulaire.;Sérologie;"10 jours ouvrables pour le dépistage des IgM et IgG.
Ajouter de 3 à 4 semaines pour la confirmation sérologique par PRNT (fait au LNM).";Sérum (1 ml). Les échantillons doivent être congelés et expédiés au LSPQ sur glace sèche.;EIA IgM et IgG, PRNT si EIA positif/EQV;Zika - Détection d'anticorps;Humain;ZIKA;Virus Zika;Fait au LSPQ;Catégorie B;
223;Zika: détection (TAAN) sur placenta;83004;Zika détection (TAAN) sur placenta;;Zika PCR;Veuillez fournir toutes les informations nécessaires. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21-35 jours) + 6 jours ouvrables;Tissue, placenta, sperme, liquides biologiques (0,6mL). Conservés et transportés à -20°C.;PCR;Zika - Recherche d'acides nucléiques;Humain;ZIKP;Virus Zika PCR;Envoi au LNM.;Catégorie B;
